Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,Lat,Long,number_of_burn,State,group
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,4,NO3_Interp,0.5376175802346618,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,5,NO3_Interp,0.16719947859094442,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,5,NO3_Interp,2.4331464456086973,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,5,NO3_Interp,1.464134057717891,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,5,NO3_Interp,0.8274961058239492,48.763,-114.226,5,Montana,28
Hickenbottom et al. 2023,Mosquito Fire,2022,NA,NA,NA,NA,NA,Csb,Temperate,0,DOC_Interp,0.6030917563718091,38.958701,-120.920501,NA,NA,NA
Hickenbottom et al. 2023,Caldor Fire,2021,NA,NA,NA,NA,NA,Csb,Temperate,1,DOC_Interp,-0.00482902444212002,38.88376,-119.978005,NA,NA,NA
Hickenbottom et al. 2023,Caldor Fire,2021,NA,NA,NA,NA,NA,Csb,Temperate,1,DOC_Interp,0.2765406443670772,38.88376,-119.978005,NA,NA,NA
Hickenbottom et al. 2023,Mosquito Fire,2022,NA,NA,NA,NA,NA,Csb,Temperate,0,NO3_Interp,0.5604775611436323,38.958701,-120.920501,NA,NA,NA
Hickenbottom et al. 2023,Caldor Fire,2021,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,0.4248453259394459,38.88376,-119.978005,NA,NA,NA
Hickenbottom et al. 2023,Caldor Fire,2021,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,-0.919819570352142,38.88376,-119.978005,NA,NA,NA
Crandall et al. 2021,Pole Creek Fire Complex,2018,Benjamin Slough,10349048,337.365,3,67,Csa,Temperate,0,DOC_Interp,0.809328715796117,40.133514,-111.771241,4,Utah,51
Crandall et al. 2021,Pole Creek Fire Complex,2018,Payson,10350360,70.5753,3,90,Csa,Temperate,0,DOC_Interp,-0.501232466511102,40.133514,-111.771241,4,Utah,51
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Lower,10349108,2010.5073,5,24,Csa,Temperate,0,DOC_Interp,0.62791521729215,40.133514,-111.771241,4,Utah,51
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Upper,10349244,1642.5162,5,25,Csa,Temperate,0,DOC_Interp,0.802869522035744,40.133514,-111.771241,4,Utah,51
Crandall et al. 2021,Pole Creek Fire Complex,2018,Benjamin Slough,10349048,337.365,3,67,Csa,Temperate,0,NO3_Interp,1.28743921860061,40.133514,-111.771241,4,Utah,51
